"Conversor USB - RS232";""
"Watchdog para PC con alarma";""
"Característica V/I de una bombilla";""
"Valor eficaz de una sinusoidal incompleta";""
"Decodificacion del protocolo RC5 usando un PIC";""
"Reutilizar el motor de un lector CDROM";""
"Descifrar las contraseñas guardadas de Opera";""
"Espectroscopía casera con copas";""
"Comparar matrices en Perl";""
"Control de velocidad por PWM";""
"Preamplificador para micrófono multimedia";""
"'Multivibrador astable a transistores: explicación'";""
"Obtener el esquema desde una placa de circuito impreso";""
"Mando de un coche teledirigido";""
"Receptor con PIC para mandos infrarrojos tipo NEC";""
"Criptoanálisis del cifrado XOR simple";""
"Transmisor protocolo NEC con PIC";""
"Convertir palabras en números (I)";""
"Convertir palabras en números (II)";""
"'Preamplificador micrófono electret: operacional'";""
"'Matamoscas eléctrónico: flyback'";""
"Utilizar un micrófono electret";""
"Escáner nuevo y difracción";""
"Simulación estadística del Risk";""
"Curva de respuesta del Dimmer IR";""
"Generador de personajes ficticios en Perl";""
"Difraccion en un DVD";""
"Espectroscopía casera con DVD";""
"Termostato para estufa de incubación casera";""
"Colorear regiones de un mapa con Perl";""
"Adaptador SMD, de MSOP a DIP";""
"'Síntesis de cloroformo a partir de productos de limpieza: estequiometría'";""
"Configurar un ratón serie en un Linux moderno";""
"Resonancia mecánica con copas II";""
"'Inferencia estadística: capacidad de una cucharilla'";""
"Sensor óptico sencillo con amplio rango dinámico";""
"Receptor coche RC de dos canales";""
""¿Vierten la tinta adrede las impresoras de inyección?"";""
"'Inferencia estadística II: Introducción a los test de hipótesis'";""
"Termómetro para disoluciones";""
"Bromas de alta tensión";""
"La subasta americana";""
"Medir valores lógicos con tarjeta de sonido";""
"Transmitir información usando el mando de un coche teledirigido";""
"Contraseña dinámica para acceder al PC de casa";""
"Decodificar Aiken Biphase con Perl";""
"'Dimmer controlado por mando a distancia: el hardware'";""
"Controlar un servomotor con el PC";""
"Adaptador de USB a Serie";""
"Programación PIC para decodificar RC5";""
"'Dimmer controlado por mando a distancia: el software'";""
"'El circuito RLC serie: oscilaciones amortiguadas'";""
"'El transistor, ese gran desconocido: Regulador V-I'";""
"Frecuencímetro para el PC";""
"Rastreador de redes inalámbricas";""
"La Transformada de Fourier no es magia";""
"Electrocardiograma y electrorretinograma.";""
"Estadística de los exámenes tipo test";""
"'Convolución de dos imágenes: Homógrafos UTF'";""
"Análisis de las distribuciones de voto en Filmaffinity";""
"Reparación de un cd-radio-casete";""
"La Distorsión Armónica Total (THD)";""
"Mezclador de frecuencias con el integrado 4066";""
"Cómo funcionan las etiquetas magneto-acústicas (o acustomagnéticas)";""
"Los dominios de la entropía";""
"Medir distancias con un ratón de bola";""
"Espectroscopía mediante Transformada de Fourier";""
"Conexión GPIO de Raspberry Pi 3";""
"El bus 1-Wire a bajo nivel - DS1820";""
"El bus I2C a bajo nivel";""
"Raspberry Pi como generador de frecuencias";""
"Luz paralela";""
"Enfriadores evaporativos - Psicrometría";""
"Demodular AFSK, desde cero";""
"Describiendo un protocolo desconocido";""
"Transmisor y receptor digital de ultrasonidos";""
"La presión atmosférica, BMP280";""
"Un contador radiactivo... de mentira";""
"Leer tarjetas de acceso RFID, sin Arduino";""
"Clonar un RFID con tu propio hardware";""
"Tu primer proyecto con DSP";"Introducción a los DSP y uso de un dsPIC."
"Sintetizador de frecuencias digital con PLL";"Un repaso a los PLL (Phase-Locked Loop) y a mis comienzos con la radio y la electrónica."
